name,Date,State,WindinStudy,BR,SH,LoadinStudy,912L,174L
Alt2,31-Jan,N-0,1759.125335,0,0,1816.73,-107.8503799,-23.55944061
Alt2,31-Jan,N-0,1642.311085,0,0,1806.17,-81.77043152,-18.29029465
Alt2,31-Jan,N-0,1440.637682,0,0,1802.98,-31.28182411,-2.948104143
Alt2,31-Jan,N-0,1256.452243,0,0,1797.7,20.56658173,14.27848911
Alt2,31-Jan,N-0,1133.50961,0,0,1791.89,61.1858902,30.30571556
Alt2,31-Jan,N-0,1010.720981,0,0,1779.26,132.1889496,48.56990051
Alt2,31-Jan,N-0,937.0558796,0,0,1785.37,99.29033661,40.894104
Alt2,31-Jan,N-0,901.0614796,0,0,1803.59,113.4450836,45.5441246
Alt2,31-Jan,N-0,886.8749382,0,0,1820.36,120.9702072,48.58828735
Alt2,31-Jan,N-0,937.1542549,0,0,1834.93,109.3020782,44.2070694
Alt2,31-Jan,N-0,964.7505159,0,0,1827.5,100.3030243,39.83311844
Alt2,31-Jan,N-0,952.8604975,0,0,1814.31,88.13131714,33.95500946
Alt2,31-Jan,N-0,942.5165272,0,0,1813.27,84.75033569,32.51114273
Alt2,31-Jan,N-0,941.5951777,0,0,1842.42,91.02326965,36.81323624
Alt2,31-Jan,N-0,858.5333037,0,0,1835.04,110.7293549,39.70748901
Alt2,31-Jan,N-0,894.858079,0,0,1850.77,107.2265167,37.7689743
Alt2,31-Jan,N-0,920.9461451,0,0,1887.81,110.2567215,36.27787018
Alt2,31-Jan,N-0,789.9677584,380.7692261,183.7563782,1912.66,-21.90285301,14.66702175
Alt2,31-Jan,N-0,758.4682982,346.9958496,0,1897.06,32.55019379,24.69236946
Alt2,31-Jan,N-0,713.7355096,310.1029053,0,1878.86,56.58198547,31.20785713
Alt2,31-Jan,N-0,683.1590286,117.1775208,0,1876.38,137.959198,45.62788391
Alt2,31-Jan,N-0,689.9036797,6.967123032,0,1869.94,174.7448883,51.55260086
Alt2,31-Jan,N-0,676.2051524,0,0,1860.3,178.4431,55.1065712
Alt2,31-Jan,N-0,692.4043531,0,0,1849.88,169.4834747,54.88616943
Alt2,31-Jan,N-0,770.1040132,0,450,1834.2,48.37277603,20.20929337
Alt2,31-Jan,N-0,845.6315722,0,450,1810.06,21.04908562,6.826261997
Alt2,31-Jan,N-0,965.4920149,155.3531952,0,1807.12,14.72251987,4.131845474
Alt2,31-Jan,N-0,1066.360661,0,0,1798.99,43.0873642,4.460692406
Alt2,31-Jan,N-0,1278.136149,0,0,1809.62,-4.394483566,-4.837612152
Alt2,31-Jan,N-0,1323.682704,0,0,1820.48,-11.02937222,-5.757585526
Alt2,31-Jan,N-0,1298.325404,82.49222565,0,1844.88,-27.52190399,-7.74307251
Alt2,31-Jan,N-0,1381.367165,277.256012,0,1900.1,-105.2140884,-23.84585381
Alt2,31-Jan,N-0,1461.477789,356.1741028,147.7177429,1926.73,-177.9329681,-39.94227219
Alt2,31-Jan,N-0,1447.48694,356.1741028,172.1208038,1954.78,-174.8838806,-36.88929749
Alt2,31-Jan,N-0,1456.93249,380.7692261,148.7691803,1947.97,-183.9010315,-40.52367783
Alt2,31-Jan,N-0,1350.545816,380.7692261,380.7692261,1945.07,-196.2891693,-38.47358704
Alt2,31-Jan,N-0,1375.630261,380.7692261,356.1741028,1931.08,-198.1755829,-38.59031296
Alt2,31-Jan,N-0,1356.755142,380.7692261,0,1947.19,-116.6468964,-15.00818539
Alt2,31-Jan,N-0,1307.846038,356.1741028,0,1955.84,-92.42417908,-7.541431427
Alt2,31-Jan,N-0,1390.753164,222.8398743,0,1961.99,-64.26100159,-10.79593658
Alt2,31-Jan,N-0,1455.328311,0,0,1978.57,5.291455269,2.052319288
Alt2,31-Jan,N-0,1440.742214,0,0,1995.54,17.21408081,8.172259331
Alt2,31-Jan,N-0,1268.708434,0,0,1979.16,61.13251114,23.65756416
Alt2,31-Jan,N-0,1092.106072,91.02309418,0,1967.33,75.47525787,31.6784687
Alt2,31-Jan,N-0,939.5366614,305.9153748,0,1947.43,33.18790436,27.13472748
Alt2,31-Jan,N-0,832.297266,356.1741028,0,1927.7,37.73341751,33.76018143
Alt2,31-Jan,N-0,668.6462178,380.7692261,177.1118622,1898.58,28.50696564,37.40590286
Alt2,31-Jan,N-0,565.5925577,380.7692261,380.7692261,1876.87,11.31371689,38.77092361
Alt2,31-Jan,N-0,474.8103304,380.7692261,11.77984047,1860.3,104.8397522,63.83259201
Alt2,31-Jan,N-0,342.2231936,380.7692261,306.2774048,1858.4,76.86849976,56.80052948
Alt2,31-Jan,N-0,252.5958555,380.7692261,380.7692261,1825.36,73.61872101,57.68309784
Alt2,31-Jan,N-0,206.0329434,380.7692261,380.7692261,1826.31,85.46143341,63.55296707
Alt2,31-Jan,N-0,197.3037568,380.7692261,380.7692261,1827.21,87.81557465,66.28723907
Alt2,31-Jan,N-0,198.2118328,380.7692261,380.7692261,1841.51,81.31197357,59.43521881
Alt2,31-Jan,N-0,199.2320857,450,450,1876.81,56.7826767,57.73294449
Alt2,31-Jan,N-0,228.6838499,450,450,1927.94,77.31626892,59.46950912
Alt2,31-Jan,N-0,263.716454,450,450,1956.72,80.97541046,64.13861847
Alt2,31-Jan,N-0,290.1787579,450,450,1969.95,74.29885864,60.85525894
Alt2,31-Jan,N-0,298.3779961,450,450,1964.62,71.27938843,59.08810806
Alt2,31-Jan,N-0,313.5119386,450,450,1969.65,61.89350891,51.63845444
Alt2,31-Jan,N-0,401.449158,450,450,1963.79,30.24653816,39.21929932
Alt2,31-Jan,N-0,500.5310159,450,450,1960.92,2.593327761,33.42007065
Alt2,31-Jan,N-0,490.2878861,450,450,1969.51,9.116620064,36.26552582
Alt2,31-Jan,N-0,425.3055897,450,450,1981.56,35.67273331,47.69754028
Alt2,31-Jan,N-0,441.3789959,450,450,2002.02,29.2355938,40.83057404
Alt2,31-Jan,N-0,475.9923651,450,450,2023.02,22.96527481,38.11175537
Alt2,31-Jan,N-0,470.7359202,450,450,2004.78,19.65069008,35.41968536
Alt2,31-Jan,N-0,497.5350251,450,450,1989.9,7.910016537,28.55921364
Alt2,31-Jan,N-0,552.7556148,450,450,1970.22,-16.83915901,21.73327827
Alt2,31-Jan,N-0,588.5001907,450,450,1949.84,-32.05701447,18.11948204
Alt2,31-Jan,N-0,598.2830181,450,450,1914.83,-47.75445938,8.21320343
Alt2,31-Jan,N-0,523.8286088,450,450,1892.45,-35.19965744,10.90559959
Alt2,31-Jan,N-0,472.92734,450,450,1871.44,-19.85325813,24.50191689
Alt2,31-Jan,N-0,419.9086752,450,450,1867.7,-7.894952774,25.98423386
Alt2,31-Jan,N-0,380.4201505,450,450,1867.93,5.241267204,32.8466301
Alt2,31-Jan,N-0,392.3313409,450,450,1859.37,0.00536405,29.94916344
Alt2,31-Jan,N-0,412.4533031,450,450,1843.93,-7.436161518,25.97535896
Alt2,31-Jan,N-0,401.601076,450,450,1848.4,-3.342358589,30.06775284
Alt2,31-Jan,N-0,403.693645,450,450,1850.25,-9.105340004,32.92085266
Alt2,31-Jan,N-0,421.8957844,450,445.0346069,1865.83,-12.80683136,29.11240768
Alt2,31-Jan,N-0,451.9306622,450,0,1881.09,69.75986481,39.92574692
Alt2,31-Jan,N-0,458.9299903,450,0,1896.63,71.0063858,37.08422852
Alt2,31-Jan,N-0,428.7983954,450,0,1901.66,79.35690308,33.70017242
Alt2,31-Jan,N-0,377.9779744,450,0,1907.18,95.76325226,36.23297119
Alt2,31-Jan,N-0,331.3679736,450,0,1920.63,112.8112564,41.25360489
Alt2,31-Jan,N-0,300.7534914,450,0,1915.71,120.7040482,43.56914902
Alt2,31-Jan,N-0,304.5261831,450,0,1909.98,117.3911667,41.90540314
Alt2,31-Jan,N-0,361.3506536,450,0,1939.9,107.6507339,45.14315414
Alt2,31-Jan,N-0,511.4331963,450,0,1959.55,72.26152039,34.91221619
Alt2,31-Jan,N-0,742.1991897,366.7167358,0,1978.15,40.58375168,19.81336975
Alt2,31-Jan,N-0,947.9020696,0,0,1957.01,108.8582001,26.68657112
Alt2,31-Jan,N-0,1146.193212,0,0,1956.1,57.49670792,19.34036255
Alt2,31-Jan,N-0,1311.96914,0,0,1958.12,20.56739235,16.39436722
Alt2,31-Jan,N-0,1387.428727,0,0,1952.88,13.16651535,15.32805729
Alt2,31-Jan,N-0,1408.519795,0,0,1914.13,2.293168783,5.286380291
Alt2,31-Jan,N-0,1364.157958,0,0,1889.8,16.4466114,8.255163193
Alt2,31-Jan,N-0,1223.969032,0,0,1885.38,55.28768539,19.760746
Alt2,31-Jan,N-0,1127.610434,0,0,1866.6,79.63227081,22.87117195
Alt2,31-Jan,N-0,1030.920053,0,0,1849.86,98.5877533,30.46162224
Alt2,31-Jan,N-0,960.5386922,0,0,1848,115.737709,34.83542252
Alt2,31-Jan,N-0,893.9258735,0,0,1839.55,125.4966965,40.99552536
Alt2,31-Jan,N-0,859.3397512,0,0,1822.42,124.798996,36.42250824
Alt2,31-Jan,N-0,982.793426,0,0,1843.67,97.66837311,28.62161446
Alt2,31-Jan,N-0,1121.918164,0,0,1861.74,59.95315933,17.98099899
Alt2,31-Jan,N-0,1188.520561,410.4437866,0,1853.38,-108.9923325,-21.20440102
Alt2,31-Jan,N-0,1061.854611,450,0,1864.1,-86.65364838,-5.743252277
Alt2,31-Jan,N-0,895.1275177,450,0,1867.39,-37.55047607,19.16722107
Alt2,31-Jan,N-0,750.1361771,450,0,1860.08,-2.914756775,25.55071068
Alt2,31-Jan,N-0,600.9848614,450,0,1860.15,37.42030334,32.14547348
Alt2,31-Jan,N-0,522.2735813,450,0,1859.43,61.25673676,41.95853043
Alt2,31-Jan,N-0,491.196784,450,0,1857.88,66.72091675,40.71874237
Alt2,31-Jan,N-0,468.0406883,450,267.2450867,1866.48,19.8619194,31.55887222
Alt2,31-Jan,N-0,520.3514652,450,450,1901.89,-22.73862839,22.94993019
Alt2,31-Jan,N-0,549.3515258,450,450,1931.79,-20.43131065,20.89368629
Alt2,31-Jan,N-0,593.7512646,450,450,1917.3,-37.17166138,18.12475204
Alt2,31-Jan,N-0,580.7990489,450,450,1888.95,-40.32371521,18.87162018
Alt2,31-Jan,N-0,477.0691011,450,450,1890.17,-11.87652111,28.18544197
Alt2,31-Jan,N-0,416.833442,450,450,1882.58,-0.257074147,29.69368935
Alt2,31-Jan,N-0,344.231806,450,450,1866.48,10.94905567,32.75112534
Alt2,31-Jan,N-0,295.8681772,450,450,1851.18,21.11070442,37.94582367
